id,check_time,instance_type,vcpus,sustained_clock_speed_ghz,memory_mib,gpus,on_demand_hibernation_support,burstable_performance_support,current_generation,interruption_rate
59,'03/26/2020 08:37',m4.large,2,2.4,8192,0,TRUE,FALSE,TRUE,unlikely
60,'03/26/2020 08:37',m5a.large,2,2.5,8192,0,FALSE,FALSE,TRUE,unlikely
61,'03/26/2020 08:37',m5a.large,2,2.5,8192,0,FALSE,FALSE,TRUE,unlikely
62,'03/26/2020 08:37',r4.large,2,2.3,15616,0,TRUE,FALSE,TRUE,unlikely
63,'03/26/2020 08:37',r5.large,2,3.1,16384,0,TRUE,FALSE,TRUE,unlikely
64,'03/26/2020 08:37',r5.large,2,3.1,16384,0,TRUE,FALSE,TRUE,unlikely
65,'03/26/2020 08:37',r5a.large,2,2.5,16384,0,FALSE,FALSE,TRUE,unlikely
66,'03/26/2020 08:37',t3.large,2,2.5,8192,0,FALSE,TRUE,TRUE,unlikely
67,'03/26/2020 08:37',t3.medium,2,2.5,4096,0,FALSE,TRUE,TRUE,unlikely
68,'03/26/2020 08:37',t3.medium,2,2.5,4096,0,FALSE,TRUE,TRUE,unlikely
69,'03/26/2020 08:37',t3.micro,2,2.5,1024,0,FALSE,TRUE,TRUE,unlikely
70,'03/26/2020 08:37',t3.nano,2,2.5,512,0,FALSE,TRUE,TRUE,unlikely
71,'03/26/2020 08:37',t3.small,2,2.5,2048,0,FALSE,TRUE,TRUE,unlikely
72,'03/26/2020 08:37',t3a.large,2,2.2,8192,0,FALSE,TRUE,TRUE,unlikely
73,'03/26/2020 08:37',t3a.medium,2,2.2,4096,0,FALSE,TRUE,TRUE,unlikely
74,'03/26/2020 08:37',t3a.micro,2,2.2,1024,0,FALSE,TRUE,TRUE,unlikely
75,'03/26/2020 08:37',t3a.micro,2,2.2,1024,0,FALSE,TRUE,TRUE,unlikely
76,'03/26/2020 08:37',t3a.nano,2,2.2,512,0,FALSE,TRUE,TRUE,unlikely
77,'03/26/2020 08:37',c4.2xlarge,8,2.9,15360,0,TRUE,FALSE,TRUE,unlikely
